Sentence ID,Concept ID,Level 1,Level 2,Level 3
111,C0233763,0,0,1
111,C0438696,1,1,0
112,C0003467,1,1,0
112,C0020175,1,1,1
112,C0023380,1,1,0
112,C0043094,1,1,1
112,C0521008,0,0,1
113,C0015672,1,1,0
113,C0233763,0,0,1
113,C0235108,0,0,1
113,C0424092,0,0,1
113,C0557875,0,0,1
114,C0036104,0,0,1
114,C0424092,0,0,1
115,C0016382,0,0,1
115,C0030193,0,0,1
115,C0425766,0,0,1
115,C0581879,0,0,1
116,C0001241,0,0,1
116,C0016770,1,1,0
116,C0028643,1,1,1
116,C0221512,0,1,0
116,C0234238,1,1,0
116,C0425082,0,0,1
116,C0497406,0,0,1
116,C0581879,0,0,1
116,C0581912,0,1,0
116,C0587054,0,0,1
116,C0812387,0,0,1
117,C0033774,0,0,1
117,C0038999,0,0,1
117,C0278180,0,0,1
117,C0424092,0,0,1
118,C0003467,1,1,0
118,C0009806,1,1,0
118,C0015672,1,1,0
118,C0016382,0,0,1
118,C0018681,1,1,0
118,C0026821,1,1,1
118,C0028643,0,0,1
118,C0030193,0,0,1
118,C0037317,0,1,1
118,C0037763,0,0,1
118,C0231303,0,0,1
118,C0235309,0,0,1
118,C0344375,1,1,1
118,C0557875,0,0,1
118,C0577027,0,0,1
118,c0037317,0,1,1
119,C0001241,0,0,1
119,C0036104,0,0,1
120,C0015726,0,0,1
120,C0038661,1,1,0
120,C0085633,1,1,1
120,C0438696,1,1,0
122,C0043094,1,1,1
122,C0220870,0,0,1
123,C0036104,0,0,1
123,C0038506,0,0,1
123,C0042963,0,0,1
123,C0240327В,0,0,1
123,C0424092,0,0,1
123,C0425082,0,0,1
124,C0036104,0,0,1
124,C0038999,0,0,1
124,C0043094,1,1,1
124,C0220870,0,0,1
124,C0392674,0,0,1
125,C0038990,0,0,1
125,C0424092,0,0,1
125,C0497406,1,1,1
126,C0015726,0,0,1
126,C0016382,0,0,1
126,C0030318,0,0,1
126,C0086769,0,0,1
127,C0581879,0,0,1
127,C2939147,0,0,1
129,C0001241,0,0,1
129,C0004604,0,0,1
129,C0030193,1,1,1
129,C0221785,0,0,1
129,C0231303,0,0,1
129,C0424092,0,0,1
130,C0015726,0,0,1
130,C0018681,1,1,0
130,C0027497,1,1,1
130,C0028643,0,0,1
130,C0036104,0,0,1
130,C0042963,0,0,1
130,C0425082,0,0,1
131,C0010200,0,0,1
131,C0233632,0,0,1
131,C0424092,0,0,1
133,C0002957,0,0,1
133,C0392674,0,0,1
133,C0424092,0,0,1
133,C0557875,1,1,1
134,C0233730,0,0,1
135,C0012833,1,1,0
135,C0018681,1,1,0
135,C0027497,1,1,1
135,C0036104,0,0,1
135,C0038999,0,0,1
135,C0042963,0,0,1
135,C0220870,0,0,1
135,C0281822,0,0,1
135,C0542313,0,0,1
135,C0575805,0,0,1
135,C0581879,0,0,1
135,C0582051,0,0,1
136,C0012833,1,1,0
136,C0016382,0,0,1
136,C0036104,0,0,1
136,C0220870,0,0,1
136,C0438697,0,0,1
136,C3536730,1,1,0
137,C0018681,1,1,0
138,C0018681,1,1,0
139,C0036104,0,0,1
139,C0233730,0,0,1
140,C0042963,0,0,1
140,C0424092,0,0,1
140,C0521008,0,0,1
141,C0015726,0,0,1
141,C0018681,1,1,0
141,C0220870,0,0,1
142,C0220870,0,0,1
143,C0015967,0,0,1
143,C0016382,0,0,1
143,C0019080,0,0,1
143,C0036104,0,0,1
144,C0010399,1,1,0
144,C0015967,0,0,1
144,C0438697,1,1,0
145,C0015672,1,1,0
145,C0015967,0,0,1
145,C0028643,0,0,1
145,C0036104,0,0,1
145,C0038999,0,0,1
145,C0085633,0,0,1
145,C0220870,0,0,1
145,C0557875,0,0,1
146,C0521008,0,0,1
147,C0018616,1,1,1
147,C0026821,0,0,1
147,C0581879,0,0,1
148,C0038990,0,0,1
149,C0028643,0,0,1
150,C0028643,0,0,1
151,C0001241,0,1,1
151,C0011206,0,0,1
152,C0028643,0,0,1
152,C0038999,0,0,1
152,C0425251,0,0,1
152,C0557875,0,0,1
152,C0581879,0,0,1
152,C0587054,0,0,1
152,C0701812,0,0,1
153,C0043094,1,1,1
154,C0016382,0,0,1
154,C0033774,0,0,1
154,C0233624,0,0,1
154,C0233730,0,0,1
155,C0036104,0,0,1
155,C0036973,0,0,1
155,C0233494,1,1,1
155,C0344232,1,1,1
156,C0028643,0,0,1
156,C0220870,0,0,1
156,C0425082,0,0,1
157,C0016382,0,0,1
157,C0028643,0,0,1
158,C0001241,0,0,1
158,C0004604,0,0,1
158,C0030193,0,0,1
158,C0036104,0,0,1
158,C0036973,0,0,1
158,C0220870,0,0,1
158,C0231303,0,0,1
158,C0424092,0,0,1
159,C0220870,0,0,1
159,C0312418,1,1,0
159,C0344232,0,0,1
160,C0036104,1,1,1
161,C0030318,0,0,1
161,C0220870,0,0,1
161,C0233730,0,0,1
161,C0278180,0,0,1
161,C0424092,0,0,1
161,C0521008,0,0,1
162,C0010399,1,1,0
162,C0018616,0,0,1
162,C0019993,1,1,0
162,C0036104,1,1,1
162,C0438697,1,1,0
162,C0521008,1,1,1
164,C0015726,0,0,1
165,C0018681,1,1,0
165,C0027497,1,1,1
165,C0042963,0,0,1
166,C0018681,1,1,0
166,C0027497,0,0,1
166,C0042963,0,0,1
166,C0424092,0,0,1
167,C0006325,0,1,1
167,C0009806,1,1,0
167,C0011206,0,0,1
167,C0020175,0,0,1
167,C0027497,1,1,1
167,C0042963,0,0,1
167,C0043094,1,1,1
167,C0220870,0,0,1
167,C0240327В,1,1,0
167,C0424444,1,1,1
167,C0917801,1,1,1
167,C1262477,1,1,1
167,C2364111,1,1,0
168,C0001973,0,0,1
169,C0011206,0,0,1
169,C0020175,0,0,1
169,C0033774,0,0,1
169,C0038990,0,0,1
169,C0038999,0,0,1
169,C0220870,0,0,1
169,C0240327В,1,1,0
169,C0392674,0,0,1
170,C0020175,1,1,1
170,C0027497,0,0,1
170,C0042963,0,0,1
171,C0001973,0,0,1
171,C0558261,1,1,0
172,C0018681,1,1,0
172,C0036973,0,0,1
172,C0220870,0,0,1
172,C0234238,1,1,0
172,C0581879,0,0,1
173,C0015726,0,0,1
173,C0016382,0,0,1
173,C0018524,1,1,0
173,C0233762,1,1,0
173,C0233763,1,1,0
173,C0234238,1,1,0
173,C0392674,0,0,1
173,C0424092,0,0,1
173,C0557875,0,0,1
173,C0917801,1,1,1
174,C0234238,1,1,0
174,C0877781,0,0,1
175,C0036104,1,1,1
177,C0015726,0,0,1
177,C0016382,0,0,1
177,C0030318,0,0,1
178,C0018681,1,1,0
179,C0424092,0,0,1
179,C0917801,1,1,1
180,C0232197,0,0,1
180,C0424092,0,0,1
181,C0001241,0,0,1
181,C0012833,1,1,0
181,C0015672,1,1,0
181,C0015726,0,0,1
181,C0028643,1,1,1
181,C0038990,0,0,1
181,C0042963,0,0,1
181,C0220870,0,0,1
181,C0233484,1,1,0
181,C0239832В,0,0,1
181,C0424091,1,1,1
181,C0425082,0,0,1
181,C0425766,0,1,1
181,C0425769,0,1,1
181,C0438697,1,1,1
181,C0542313,0,0,1
181,C0542476,1,1,1
181,C0557875,0,0,1
181,C0700590,0,0,1
182,C0003467,1,1,0
182,C0581879,0,0,1
182,C0812387,0,0,1
183,C0001241,0,0,1
183,C0235169,1,1,0
183,C0424092,0,0,1
184,C0012833,1,1,0
184,C0015672,1,1,0
184,C0085632,1,1,0
184,C0220870,0,0,1
184,C0424092,0,0,1
184,C0522165,0,0,1
184,C0557875,0,0,1
184,C0812387,0,0,1
185,C0015967,0,0,1
185,C0018616,0,0,1
185,C0036104,0,0,1
186,C0425082,0,0,1
187,C0001241,0,0,1
187,C0028643,1,1,1
187,C0030318,1,1,1
187,C0036104,0,0,1
187,C0086769,1,1,1
189,C0015672,1,1,0
189,C0557875,0,0,1
190,C0002957,0,0,1
190,C0392674,1,1,1
190,C0424092,0,0,1
190,C0438697,0,0,1
190,C0557875,1,1,1
191,C0001241,0,0,1
191,C0015672,1,1,0
191,C0038999,0,0,1
191,C0424092,0,0,1
191,C0557875,0,0,1
192,C0011991,1,1,1
192,C0027497,1,1,1
192,C0038990,1,1,1
192,C0042963,0,0,1
192,C0233730,0,0,1
192,C0581879,0,0,1
193,C0004095,0,0,1
193,C0011991,1,1,1
193,C0015726,0,0,1
193,C0015967,0,0,1
193,C0030318,1,1,1
193,C0036104,0,0,1
193,C0038990,1,1,1
193,C0042963,0,0,1
193,C0086769,1,1,1
193,C0150084,0,0,1
193,C0232431,0,0,1
193,C0233730,0,0,1
193,C0438697,0,0,1
193,C0554978,1,1,1
193,C0557883,0,0,1
193,C0557885,0,0,1
193,C0564408,0,0,1
193,C0700590,0,0,1
193,C0812387,0,0,1
193,C1443924,1,1,1
194,C0003467,1,1,0
194,C0030318,1,1,1
194,C0086769,1,1,1
194,C0554985,0,0,1
194,C0700031,1,1,0
196,C0003467,1,1,0
196,C0030318,1,1,1
196,C0038990,0,0,1
196,C0242362,0,0,1
197,C0003467,1,1,0
197,C0010399,1,1,0
197,C0030318,1,1,1
197,C0038999,0,0,1
197,C0438697,1,1,0
198,C0001241,0,0,1
198,C0003467,1,1,0
198,C0010399,1,1,0
198,C0220870,0,0,1
198,C0424092,0,0,1
198,C0438697,1,1,0
199,C0012833,1,1,0
199,C0015726,0,0,1
199,C0018681,1,1,0
199,C0027497,0,0,1
199,C0042963,0,0,1
199,C0220870,0,0,1
200,C0000737,1,1,0
200,C0011991,1,1,1
200,C0030193,1,1,1
201,C0028643,0,0,1
201,C0038661,1,1,0
201,C0438696,1,1,0
202,C0003467,1,1,0
202,C0036104,0,0,1
203,C0018681,1,1,0
203,C0027497,0,0,1
203,C0042963,0,0,1
204,C0015726,0,0,1
204,C0016382,0,0,1
204,C0030318,0,0,1
204,C0038999,0,0,1
204,C0392674,0,0,1
205,C0015726,0,0,1
205,C0027497,0,0,1
205,C0038999,0,0,1
205,C0042963,0,0,1
205,C0392674,0,0,1
206,C0027497,1,1,1
206,C0042963,0,0,1
207,C0001241,1,1,1
207,C0003467,1,1,0
207,C0557883,0,0,1
207,C0700031,1,1,0
208,C0018616,0,0,1
208,C0392674,0,0,1
208,C0424092,0,0,1
209,C0009806,1,1,0
210,C0030193,1,1,1
210,C0043094,1,1,1
211,C0016382,0,0,1
211,C0018616,0,0,1
211,C0038506,0,0,1
211,C0038999,0,0,1
211,C0392674,0,0,1
212,C0036104,0,0,1
212,C0233730,0,0,1
212,C0560617,0,0,1
214,C0015726,0,0,1
215,C0018681,1,1,0
215,C0033893,0,1,0
215,C0233494,1,1,1
215,C0427195,1,1,0
216,C0424092,0,0,1
216,C0581879,0,0,1
217,C0003467,1,1,0
218,C0015726,0,0,1
218,C0038999,0,0,1
218,C0220870,0,0,1
218,C0917801,1,1,1
219,C0001241,0,0,1
219,C0020175,1,1,1
219,C0033774,0,0,1
219,C0392674,0,0,1
219,C0424092,0,0,1
219,C0425251,0,0,1
219,C0557875,0,0,1
222,C0003862,1,1,1
222,C0030193,1,1,1
222,C0231528,1,1,0
224,C0012833,1,1,0
224,C0027497,1,1,1
224,C0042963,0,0,1
224,C0220870,0,0,1
224,C0314719,1,1,0
224,C0581879,0,0,1
225,C0004095,0,0,1
225,C0004604,1,1,1
225,C0015967,0,0,1
225,C0030193,1,1,1
225,C0033774,1,1,1
225,C0036104,0,0,1
225,C0220870,0,0,1
225,C0233469,0,0,1
225,C0278140,1,1,1
225,C0455270,0,0,1
225,C0850674,0,0,1
225,C4075722,0,1,1
226,C0010709,1,1,1
226,C0036104,0,0,1
226,C0220870,0,0,1
226,C0424366,0,0,1
226,C0557885,0,0,1
226,C0581879,0,0,1
226,C0582051,0,0,1
226,C0702166,1,1,0
227,C0002957,1,1,1
227,C0004604,1,1,1
227,C0010709,1,1,1
227,C0015726,0,0,1
227,C0028643,0,0,1
227,C0030193,1,1,1
227,C0033774,1,1,1
227,C0036104,0,0,1
227,C0085633,0,0,1
227,C0220870,0,0,1
227,C0221785,0,0,1
227,C0425082,0,0,1
227,C0542313,0,0,1
227,C0582093,0,0,1
228,C0002957,0,0,1
228,C0392674,0,0,1
228,C0424092,0,0,1
228,C0456814,0,1,0
228,C0557875,1,1,1
228,C0581879,0,0,1
229,C0002957,0,0,1
229,C0015967,0,0,1
229,C0392674,0,0,1
229,C0424092,0,0,1
229,C0557875,1,1,1
229,C0581879,0,0,1
230,C0018379,0,0,1
230,C0581879,0,0,1
231,C0015967,0,0,1
231,C0424092,0,0,1
232,C0033774,0,0,1
232,C0581879,0,0,1
233,C0038990,0,0,1
233,C0242362,0,0,1
234,C0002957,0,0,1
234,C0392674,0,0,1
234,C0424091,0,0,1
234,C0424092,0,0,1
234,C0456814,1,1,0
234,C0557875,1,1,1
234,C0581879,0,0,1
234,C1562291,0,0,1
235,C0028084,1,1,0
235,C0036104,0,0,1
235,C0392674,1,1,1
235,C0557875,0,0,1
236,C0028643,0,0,1
236,C0030318,0,0,1
236,C0438697,0,0,1
236,C0522057,0,0,1
240,C0220870,0,0,1
240,C0577027,1,1,1
241,C0009806,1,1,0
241,C0015672,1,1,0
241,C0043094,1,1,1
241,C0557875,0,0,1
241,C0917801,1,1,1
241,C1262477,0,1,1
241,C3839824,0,0,1
242,C0028643,0,0,1
242,C0522057,0,0,1
244,C0033774,0,0,1
246,C0581879,0,0,1
248,C0043094,1,1,1
248,C1262477,1,1,1
249,C0233469,0,0,1
249,C0235169,1,1,0
250,C0220870,0,0,1
250,C0554980,1,1,0
251,C0033774,0,0,1
251,C0043094,0,0,1
252,C0036104,0,0,1
252,C0233730,0,0,1
252,C0424092,0,0,1
252,C0557885,0,0,1
252,C0581879,0,0,1
253,C0002957,0,0,1
253,C0038990,0,0,1
253,C0242362,0,0,1
253,C0392674,0,0,1
253,C0424092,0,0,1
253,C0557875,1,1,1
254,C0028643,0,0,1
254,C0030193,0,0,1
254,C0037317,0,0,1
254,c0037317,0,0,1
256,C0019080,0,0,1
256,C0036104,0,0,1
256,C0424117,1,1,0
256,C0438697,1,1,1
256,C0557885,0,0,1
256,C0581879,0,0,1
256,C0582093,0,0,1
257,C0016382,0,0,1
257,C0026821,0,0,1
257,C0232197,0,0,1
257,C0424092,0,0,1
257,C0581879,0,0,1
257,C0582051,0,0,1
258,C0026821,0,0,1
258,C0028643,0,0,1
258,C0036104,0,0,1
258,C0220870,0,0,1
258,C0232197,0,0,1
258,C0424092,0,0,1
259,C0015726,0,0,1
259,C0026821,0,0,1
259,C0028084,1,1,0
259,C0028643,0,0,1
259,C0232197,0,0,1
259,C0424092,0,0,1
259,C0521008,0,0,1
260,C0581879,0,0,1
261,C0027497,1,1,1
261,C0036973,0,0,1
261,C0042963,0,0,1
261,C0220870,0,0,1
261,C0581879,0,0,1
262,C0011991,1,1,1
262,C0043094,1,1,1
262,C0424092,0,0,1
262,C1262477,0,1,1
263,C0019080,0,0,1
263,C0036104,0,0,1
264,C0003467,1,1,0
264,C0043094,0,0,1
264,C0278180,0,0,1
264,C0312418,1,1,0
264,C0549622,1,1,0
266,C0027497,0,0,1
266,C0042963,0,0,1
266,C0344232,1,1,1
267,C0015672,1,1,0
267,C0018681,1,1,0
267,C0028081,1,1,1
267,C0038990,1,1,1
267,C0043094,1,1,1
267,C0220870,0,0,1
267,C0233730,0,0,1
267,C0557875,0,0,1
267,C1262477,0,1,0
268,C0038999,0,0,1
269,C0013604,0,0,1
269,C0015967,0,0,1
269,C0028081,1,1,1
269,C0038990,1,1,1
269,C0220870,0,0,1
269,C0233730,0,0,1
269,C4075722,0,1,1
270,C0028081,1,1,1
270,C0028643,0,0,1
270,C0038990,1,1,1
270,C0220870,0,0,1
270,C0233730,0,0,1
271,C0002622,0,0,1
271,C0015726,0,0,1
271,C0028643,0,0,1
271,C0038999,0,0,1
271,C0233660,0,0,1
271,C0312422,1,1,1
271,C0424092,0,0,1
271,C0542476,0,0,1
272,C0001241,0,0,1
272,C0015967,0,0,1
272,C0036104,0,0,1
272,C0038999,0,0,1
272,C0233660,0,0,1
272,C0424092,0,0,1
272,C0425082,0,0,1
272,C0542476,0,0,1
272,C0582093,0,0,1
272,C3672010,0,0,1
273,C0015726,0,0,1
273,C0015967,0,0,1
274,C0001241,1,1,1
274,C0015726,0,0,1
274,C0220870,0,0,1
274,C0581879,0,0,1
275,C0016382,0,0,1
275,C0424092,0,0,1
276,C0003467,1,1,0
276,C0016382,0,0,1
276,C0425082,0,0,1
277,C0002957,0,0,1
277,C0028643,0,0,1
277,C0036104,0,0,1
277,C0239832В,0,0,1
277,C0392674,0,0,1
277,C0424092,0,0,1
277,C0425101,0,0,1
277,C0425251,0,0,1
277,C0542313,0,0,1
277,C0557875,1,1,1
278,C0002622,0,0,1
278,C0011206,0,0,1
278,C0015726,0,0,1
278,C0020175,0,0,1
278,C0028643,0,0,1
278,C0037317,1,1,1
278,C0043094,1,1,1
278,C0312422,1,1,1
278,C0424092,0,0,1
278,C0521008,0,0,1
278,C0542313,1,1,1
278,C0542476,0,0,1
278,C0556385,0,1,1
278,C0701811,1,1,0
278,C1262477,1,1,0
278,c0037317,1,1,1
279,C0015967,0,0,1
279,C0043094,1,1,1
279,C0497406,0,0,1
280,C0015726,0,0,1
280,C0015967,0,0,1
280,C0036104,0,0,1
280,C0233479,0,1,0
280,C3672010,0,0,1
281,C0002957,0,0,1
282,C0009806,1,1,0
